UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment,OriginalTweetClean,PredictedSentiment,PredictedSentimentNB,PredictedSentimentRF
18,44970,"Toronto, Ontario",05-03-2020,"When youre stockpiling food &amp; other supplies, buy extra for your local food bank. Many families dont have the luxury to spend beyond their weekly budget. @DailyBreadTO  #coronavirus",Neutral,stockpile food supply buy extra local food bank family don luxury spend weekly budget,2,2,2
19,44971,,05-03-2020,"That's about a week from now. A bit optimistic.  Probably it will take another month.  Supply chain may be recovering, demand chain will be non-existent in US and Europe for the next month or two.
$spx $qqq $es $nq https://t.co/yXcOfL0BnI",Positive,that s week bit optimistic probably month supply chain recover demand chain nonexistent europe month spx qqq es nq,2,2,2
20,44972,Tallahassee,05-03-2020,"Studies show the #coronavirus like #COVID19 can live up to nine days on hard surfaces like metal, plastic, and glass.

Our Deputy Commissioner of Consumer Affairs Mary Barzee Flores shows you how to keep clean at the gas pump.

Watch and share? https://t.co/AIqATWT5zz",Extremely Positive,study like live day hard surface like metal plastic glass deputy commissioner consumer affairs mary barzee flore show clean gas pump watch share,0,0,0
21,44973,Malta,05-03-2020,"#CoronaVirus #COVID_19 People are starting to become frightened and to do #PanicShopping. Many shelves, meanwhile, turn empty as #goods are sold. #FaceMasks &amp; disinfection liquid are sold out, or they are sold for exorbitant prices! #Blockchain #CryptoNews https://t.co/AkR3lmLEKf",Negative,people start frightened shelf turn sell disinfection liquid sell sell exorbitant price,2,2,2
22,44974,"Texas, USA",05-03-2020,"For those of you that think credit/debit is just as good as #bitcoin when it comes to combating #coronavirus, keep in mind that this is not a ""contactless transaction.""  How many people at your grocery store or gas station touch this keypad every day? https://t.co/WVq8bb9OlS",Extremely Positive,think creditdebit good come combat mind not contactless transaction people grocery store gas station touch keypad day,0,0,0
23,44975,"Florida, USA",06-03-2020,Control over stocks and gold is lost...gold coming back very nicely! Loves wallbridge and Balmoral and warns listeners about #coronavirus Sprott Money Ltd. recently put in money to $OCG $GENM $MMG and many more... https://t.co/3aURZ2e4Sj,Extremely Positive,control stock gold lostgold come nicely love wallbridge balmoral warn listener sprott money ltd recently money ocg genm mmg,2,2,2
24,44976,Chandigarh,06-03-2020,"Sellers are cashing on your panic to sell facemasks and sanitizers at super inflated prices.

In reality, neither sanitizer nor facemasks are ""must have"" to save yourself from #coronavirus. 

Please watch this video for more :

https://t.co/sgOFnAu4j8",Extremely Positive,seller cash panic sell facemask sanitizer super inflate price reality sanitizer facemask save watch video,0,0,0
25,44977,Canada,07-03-2020,"Canada's oilpatch is bracing for the impact of plunging crude prices after OPEC and its allies failed to reach a deal aimed at cutting production as economies slow because of the novel #coronavirus. The fool @Jkenney based his budget on hired oil prices 

https://t.co/fDCpQPvPuo",Extremely Negative,canadas oilpatch brace impact plunge crude price opec ally fail reach deal aim cut production economy slow novel fool base budget hire oil price,2,2,2
26,44978,"Wayne County, MI",07-03-2020,"Alright yall I hope our Melanin prevails but just in case I took some precautions I had some food &amp; water delivered. ????? Ive had my masks for a month and may have to open soon! 
?? #B1 #FBA 

#CoronavirusUSA #COVID https://t.co/cTQMDgDgtD",Positive,alright hope melanin prevails case take precaution food water deliver ve mask month open soon,0,0,0
27,44979,"Bondi Beach, Sydney",07-03-2020,When your usual grocery shopping @woolworths turns into a toilet paper fight in the supermarket aisle. Yikes. #toiletpaperpanic for the #coronavirus has taken a whole new level. https://t.co/aKJ283I20C,Negative,usual grocery shopping turn toilet paper fight supermarket aisle yike take new level,2,2,2
28,44980,,07-03-2020,"Coronavirus panic spreads: Costco is pulling free samples over COVID-19 - USA TODAY

Coronavirus panic spreads: Costco is pulling free samples over COVID-19  USA TODAY

'It's pandemonium': virus panic-buying hits Los Angeles  Yahoo News

How Costco is Ha https://t.co/MyTDpDomEI",Negative,coronavirus panic spread costco pull free sample usa today coronavirus panic spread costco pull free sample usa today pandemonium virus panicbuying hit los angeles yahoo news costco ha,0,0,0
29,44981,,07-03-2020,"While you are stocking up, waiting for quarantine, if you can don't forget to donate  food, water, and toiletries to your local food banks to help others without the means to stock up. Get ahead of it before it becomes a crisis. #covid19 #coronavirus",Negative,stocking wait quarantine do not forget donate food water toiletry local food bank help mean stock ahead crisis,0,0,0
30,44982,United States,07-03-2020,"#Coronavirus is ""an exposure of all the holes in the social safety net,"" says NELP Government Affairs Director Judy Conti

#UI #Unemployment #PaidLeaveForAll
https://t.co/BrCY9IJWSv",Positive,exposure hole social safety net say nelp government affair director judy conti,0,0,0
31,44983,"New York, New York",07-03-2020,"Two important phone numbers NYers should know. If you have no doctor or insurance and think you may be sick and need to be tested for #coronavirus, call the state's helpline: 1-888-364-3065. To report price gouging, call the Div. of Consumer Protection at 1-800-697-1220.",Negative,important phone number nyer know no doctor insurance think sick need test state helpline report price gouging div consumer protection,2,2,2
32,44984,"London, England",08-03-2020,"Tip for all Pro Wrestlers to help combat the #coronavirus...be more like @ZoeLucasPro and bring hand sanitizer to your matches as a precaution

#EVEWrestling @ProWrestlingEVE https://t.co/SUYUsaPm7j",Extremely Positive,tip pro wrestler help combat like bring hand sanitizer match precaution,0,0,0
33,44985,USA,08-03-2020,"Is this effective?
Is it necessary?
Or is it just optics?
Scare tactics?
For the American consumer?
For US MSM to use?
If optics, What is the intended effect?
Fear?
Crash US Market-&gt;panic-&gt;elect Biden

#Qanon #coronavirus https://t.co/H48ZMfuAme",Extremely Negative,effective necessary optic scare tactic american consumer msm use optic intend effect fear crash marketpanicelect biden,2,2,2
34,44986,"Toronto, Ontario",08-03-2020,"IMHO Russia's rug pull on oil prices is designed to end the dollar as the global reserve currency. How? Corp debt collapse, led by high yield and fracking, compounded by COVID-19, will mean Fed and US Govt respond with #MMT. Ciao dollar. Alt is collapse. Got #Gold or #Silver yet?",Extremely Negative,imho russias rug pull oil price design end dollar global reserve currency corp debt collapse lead high yield fracke compound mean fed govt respond ciao dollar alt collapse get,2,2,2
35,44987,"Angmering, West Sussex",08-03-2020,So not due to #Brexit at all then &gt;&gt; Supermarkets begin #foodrationing after wave of #coronavirus-fuelled panic buying https://t.co/AKgkHxO0tW,Neutral,not supermarket begin wave fuel panic buying,2,2,2
36,44988,"Dont ask for freedom, take it.",08-03-2020,"Remember, with all the media deflection stories about bog rolls, panic-buying, food shortages, Covid-19, Irish bridges etc etc.

We've still got Brexit, Austerity, poverty, a crashing economy &amp; the worst UK Govt in living memory. 

All depressing stuff &amp; it aint gonna end well.",Extremely Negative,remember medium deflection story bog roll panicbuye food shortage irish bridge etc etc we ve get brexit austerity poverty crash economy bad uk govt live memory depress stuff be not go to end,2,2,2
37,44989,"New York, NY",08-03-2020,"Fellow Uni instructors! COVID-19 f2f class cancelations are  inconvenient! But remember you're salaried employees. Maybe call/email HR or your union &amp; demand to know how hourly workers (clerical, food-service, custodial, etc) will be  compensated during campus closures?",Negative,fellow uni instructor class cancelation inconvenient remember you re salary employee maybe callemail hr union demand know hourly worker clerical foodservice custodial etc compensated campus closure,2,2,2
38,44990,,08-03-2020,"@howroute Its not even over food... what the actual heck?? I have news for these people ... 

you need food and water before you need the paper to wipe your a$$. Just sayin.. ? 

#covid19 #Covid_19 #coronavirus #corona #virus #panic",Neutral,not food actual heck news people need food water need paper wipe sayin,2,2,2
39,44991,"Sydney, New South Wales",08-03-2020,"1/25 Part 1 - Why does soap work so well on the SARS-CoV-2, the coronavirus and indeed most viruses? Because it is a self-assembled nanoparticle in which the weakest link is the lipid (fatty) bilayer. A two part thread about soap, viruses and supramolecular chemistry #COVID19 https://t.co/OCwqPjO5Ht",Negative,soap work coronavirus virus selfassemble nanoparticle weakest link lipid fatty bilayer thread soap virus supramolecular chemistry,1,1,1
40,44992,Socially Distanced in NC,08-03-2020,"Thread: Please STOP shaming folks who stock up on food and personal care products ahead of #CoronaVirus #COVID19. #Trump made it clear that he doesnt care and wont help, so theyre protecting their families their way. Its a tiny bit of mastery and control in terrifying times. https://t.co/12eMup9mtA",Extremely Positive,thread stop shame folk stock food personal care product ahead clear doesn care win help protect family way tiny bit mastery control terrifying time,0,0,0
41,44993,"Michigan, USA",09-03-2020,"For those thinking #seniors #disabled &amp; #vets shouldnt be included in any @realDonaldTrump aid package because of #Covid_19 #coronavirus check prices on antibacterial soaps, disinfectant safer transportation other than crowded city busses list goes on @SenStabenow @RashidaTlaib",Positive,think shouldn include aid package check price antibacterial soap disinfectant safe transportation crowd city bus list go,0,0,0
42,44994,Pennsylvania,09-03-2020,"So far 36 Pennsylvanians have reached out to my Office to report inflated prices on everything from disinfectant spray to liquid soap.
 
Price gouging like this isnt just wrong, its illegal. Keep your emails coming: pricegouging@attorneygeneral.gov #coronavirus",Negative,far pennsylvanian reach office report inflate price disinfectant spray liquid soap price gouging like isn wrong illegal email come pricegouge gov,2,2,2
43,44995,Kolkata?? and Dhaka??,09-03-2020,"Global stock markets continued their bear run as #DowJones and S&amp;P500 plunged as they opened on Monday. Plunge was largely on the back of the 30% overnight slump in #CrudeOil prices, along with the persistent concerns over the impact of #CoronaVirus on the global #economy.",Neutral,global stock market continue bear run plunge open monday plunge largely overnight slump price persistent concern impact global,2,2,2
44,44996,"Washington, D.C.",09-03-2020,Scammers are taking advantage of fears surrounding the #Coronavirus. Here are some tips to help you keep scammers at bay: https://t.co/Yt892bgnBu #COVID2019 https://t.co/kmILU80H6h,Positive,scammer take advantage fear surround tip help scammers bay,2,2,2
45,44997,"Burnaby, British Columbia",09-03-2020,"Are you doing business in international markets? This @ExportDevCanada webinar will show you how to navigate todays exporting challenges and rising commodity prices due to the COVID-19 virus.

https://t.co/pDBUlOnAEI",Positive,business international market webinar navigate today export challenge rise commodity price virus,0,0,0
46,44998,"Manhattan, NY",09-03-2020,"For those in gig economy who only earn if ppl are going out, we can immediately process refunds for 2019 Earned Income Tax Credit or Child Tax Credit - or they can borrow against 2020 credits. That cash can help make ends meet until normal consumer behavior returns #coronavirus",Extremely Positive,gig economy earn ppl go immediately process refund earn income tax credit child tax credit borrow credit cash help end meet normal consumer behavior return,0,0,0
47,44999,"Colorado, USA",09-03-2020,"I have instructed that insurance companies make COVID-19 testing free. This important step will help ensure cost barriers do not stand in the way of people getting tested. 

Read more: https://t.co/0VrdDfNPay https://t.co/9JdaVZw7ai",Extremely Positive,instruct insurance company test free important step help ensure cost barrier not stand way people getting test read,0,0,0
48,45000,"Washington, DC",09-03-2020,The oil prices dipping has absolutely nothing to do with #COVID2019 it has everything to do with #OPEC talks collapsing and Saudi feuding with Russia. Celebrate and calm the hell down.. weirdos.,Extremely Negative,oil price dip absolutely talk collapse saudi feuding russia celebrate calm hell weirdo,2,2,2
49,45001,United States,09-03-2020,"Global stocks plummeted today due to fear surrounding #COVID2019 and falling oil prices, which saw the biggest one-day drop since the 1991 Gulf War.

Let's look at how the major stock indices have been reacting to the news, based on their closing values. https://t.co/fV7IehqaDo",Extremely Negative,global stock plummet today fear surround fall oil price see big oneday drop gulf war let look major stock index react news base closing value,2,2,2
50,45002,#NoNazis?? kaspum zaháv,09-03-2020,"The beginning of a  global recession!

#Coronavirus damaging health crisis?
#oil prices falling down?
US stocks falling down?
7% drop this morning &amp; trading halt?
#migration crisis at the EU borders 
#housingCrisis &amp; skyrocketing rents. Tenants are losing 50% of income?
#Q*",Extremely Negative,begin global recession damage health crisis price fall stock fall drop morning trading halt crisis eu border skyrocket rent tenant lose income,2,2,2
51,45003,Australia,09-03-2020,"@7NewsSydney @ScottMorrisonMP Some Factors have bought on the recession 1)Ignoring per-capita recession, 2)wage growth stagnant 3)Consumer debt levels are through the roof 4) casualized work! These changes in the economy are driven by government not #co",Extremely Negative,factor buy recession percapita recession growth stagnant debt level roof casualize work change economy drive government not,2,2,2
52,45004,USA|EUROPE|ASIA|GLOBAL??,09-03-2020,"Cuomo press conference...
New York is releasing new brand of state made had sanitizer prices from $0.80¢ - $6 a gallon!
#CoronaVirusUpdates #Corona #CoronavirusOutbreak #virus #COVID2019 #COVID19 #NYC

https://t.co/9jhElBwElZ",Neutral,cuomo press conference new york release new brand state sanitizer price gallon,0,0,0
53,45005,Colorado,09-03-2020,"Ignore online offers for #vaccinations. There currently are no vaccines, pills, potions, lotions, lozenges or other prescription or over-the-counter products available to treat or cure #Coronavirus disease 2019 (COVID-19)  online or in stores.

@FTC tips: https://t.co/Sqbf4LHB8H https://t.co/DX5po1KDqi",Negative,ignore online offer currently no vaccine pill potion lotion lozenge prescription overthecounter product available treat cure disease online store tip,2,2,2
54,45006,"Cambridgeshire, UK",09-03-2020,"If you are lucky enough to be sitting at home with enough food to get you through a period of self-isolation, please consider donating to the @TrussellTrust to help those who couldn't stock up even if they wanted to. #TrussellTrust #foodbanks #coronavirus #COVID19",Extremely Positive,lucky sit home food period selfisolation consider donate help could not stock want,0,0,0
55,45007,earth,09-03-2020,"@thehill Americans need to take it upon themselves to help avoid contracting covid-19.
Prep to self quarantine for 2 wks.
Stop unnecessary travel or crowd gatherings.
Talk to your employer about how to proceed w/o harm to your career.
Plan for sch",Extremely Negative,americans need help avoid contract prep self quarantine wks stop unnecessary travel crowd gathering talk employer proceed will harm career plan sch,0,0,0
56,45008,?? ???? ?????? . ??? ???? ???,09-03-2020,"@realDonaldTrump Separate Table of US Corna Virus Statistics.
 Very high stats of corona virus.
 US Government's Inability to Control Corona Virus.
 High Price Disinfectant Gel in USA High price of mask in USA. 
Food prices are rising day by day",Negative,separate table corna virus statistic high stat corona virus government inability control corona virus high price disinfectant gel usa high price mask usa food price rise day day,1,1,1
57,45009,"Texas, USA",10-03-2020,"#ToiletPaper shortage ??
Don't believe everything you see on TV! My Costco just now....,.#CoronaVirus https://t.co/FDviKzgFwd",Negative,shortage do not believe tv costco,2,2,2
58,45010,"Western Australia, Australia",10-03-2020,"Come on guys, please be like bob!

#COVID2019 #panicbuying #coronavirus https://t.co/kMly3zNynR",Positive,come guy like bob,0,0,0
59,45011,London,10-03-2020,"If you have booked a ticket to an event as part of a package holiday you will be offered an alternative or a refund by your travel provider, if it has been cancelled due to #Coronavirus.

Check ABTA's consumer Q&amp;A at: https://t.co/oUB4MNmrNA

#COVID19 https://t.co/kMHJehS2JH",Positive,book ticket event package holiday offer alternative refund travel provider cancel check abta consumer qa,0,0,0
60,45012,,10-03-2020,"Breaking: New Jersey officials urge residents to stock up for a two week #coronavirus quarantine ""Just in case""

#COVID19 
https://t.co/fc8imQ7TAR",Neutral,break new jersey official urge resident stock week quarantine case,1,1,1
61,45013,"Dallas, USA",10-03-2020,"4- Russia LNG will also suffer. The irony is, spot LNG prices were already at a record low because of the #Coronavirus and the declaration of force majeure by Chinese companies. 

Contracted LNG became the only way to make money until oil prices collapsed. It is a big hit https://t.co/ksFQ4uzqAn",Extremely Negative,russia lng suffer irony spot lng price record low declaration force majeure chinese company contract lng way money oil price collapse big hit,2,2,2
62,45014,"Bowling Green, KY",10-03-2020,#BreakingNews #terrorists have watched closely as the #coronavirus spins its web. They now know what Americans value most. Wiping their ass! Citizens rush to buy toilet paper but neglect to stock up on food! Terrorists are holding our #toiletpaper  factories hostage! Film at 11! https://t.co/7maYfTGxJA,Extremely Negative,watch closely spin web know americans value wipe ass citizen rush buy toilet paper neglect stock food terrorist hold factory hostage film,2,2,2
63,45015,Five offices across Canada,10-03-2020,"""As the novel #coronavirus (or #COVID19) continues to spread worldwide, its impact on international business operations, supply chains, travel, commodity prices, consumer confidence and business forecasts is becoming increasingly acute.""
#BLGPublication https://t.co/BDIedMNksK",Extremely Positive,novel continue spread worldwide impact international business operation supply chain travel commodity price consumer confidence business forecast increasingly acute,0,0,0
64,45016,,10-03-2020,"Lower #Oil prices, lower #InterestRate, and some sort of fiscal #stimulus is great, but the consumer isn't the problem. The problem is fear of #coronavirus and fear of being quarantined for 14 days. That's why people stopped traveling. Not because of interest rates or taxes.",Extremely Negative,low price low sort fiscal great consumer be not problem problem fear fear quarantine day that s people stop travel not interest rate taxis,2,2,2
65,45017,,10-03-2020,Consumers have increased their online shopping due to coronavirus. https://t.co/5mYfz3RAD0 #retail #ecommerce #study #coronavirus https://t.co/Dz3H6zrWUT,Positive,consumer increase online shopping coronavirus,1,1,1
66,45018,"Lambeth, London",10-03-2020,"For those self indulging in thoughts of food, medicine and essential household goods stock piling. Like people on universal credit be stock piling FFS!!! #coronavirus",Negative,self indulge thought food medicine essential household good stock piling like people universal credit stock pile ff,0,0,0
67,45019,"Wales, United Kingdom",10-03-2020,"Ok if #COVID2019 is nothing to panic about why is Italy imposing the biggest restrictions on the civilian population since WW2? 
How will the supermarkets be able to provide food if all the workers are told to stay at home? 
Same with any other Bussiness.",Positive,ok panic italy impose big restriction civilian population supermarket able provide food worker tell stay home bussiness,2,2,2
68,45020,Washington DC,10-03-2020,"Trump said people must ""be vigilant,"" then concluded, ""Be calm. It's really working out. And: lot of good things are going to happen. The consumer is ready. The consumer is so powerful in our country with what we've done with tax cuts and regulation cuts and all of those things.""",Extremely Positive,trump say people vigilant conclude calm working lot good thing go happen consumer ready consumer powerful country we ve tax cut regulation cut thing,0,0,0
69,45021,Edmonton Alberta,10-03-2020,"The top food items to stock up on in case you are quarantined 

#Coronavirus home stays are on peoples minds. Here are ten foods for stocking a pantry to support physical and mental health.

https://t.co/jrvxRIb57L",Positive,food item stock case quarantine home stay people mind food stock pantry support physical mental health,0,0,0
70,45022,"Manchester, UK",10-03-2020,"Hi all! Please support your local Chinese Restaurant &amp; order some delicious food from them ? They are really struggling with the #COVID2019 panic, many are having to let staff go.

My favs in #Manchester are @sweetmandarin &amp; @blueeyedpandam4
Thank you! ??

#iwilleatwithyou https://t.co/jpDHxQMBTv",Positive,hi support local chinese restaurant order delicious food struggle panic having let staff favs thank,0,0,0
71,45023,Missouri,10-03-2020,Report any and all instances of price gouging or other COVID-19 scams to the Attorney Generals Consumer Protection Hotline at 800-392-8222 or online at https://t.co/YB2NrTWlfg. #coronavirus https://t.co/H3QqmM3BBl,Negative,report instance price gouging scam attorney general consumer protection hotline online,2,2,2
72,45024,,10-03-2020,"Russia by breaking rank from OPEC+ signalled an intent to take down their nemesis: American oil and gas industry.

#USElections2020 #COVID2019 #OilWar are steeped in markets least favorite thing: Uncertainty

But THIS TIME they won't succeed

Low Oil prices won't last long #OOTT https://t.co/TwKYxrDfoW",Extremely Positive,russia breaking rank opec signal intent nemesis american oil gas industry steep market favorite thing uncertainty time will not succeed low oil price will not long,2,2,2
73,45025,España / USA,10-03-2020,"?80% of #Retail experts talk about a significant decrease in #store traffic due to #coronavirus ??
??Check our article???

https://t.co/eobzo0WOUS",Positive,expert talk significant decrease traffic check article,0,0,0
74,45026,,10-03-2020,Met with members of our distributive trade today to examine their preparation   for the impact of Covid 19. Based on reports our key manufacturers and importers have at least 2 to 3 mths of stock. We therefore do not expect that there will be any shortage in critical food items. https://t.co/jtFneBWuVy,Negative,meet member distributive trade today examine preparation impact covid base report key manufacturer importer mth stock not expect shortage critical food item,2,2,2
75,45027,New York City,10-03-2020,"Say you need to stock up on #food for a couple of weeks, here's tips on what to get and how to properly store those #perishable items. #coronavirus https://t.co/GnLgWqxpjl https://t.co/cCKvA2ktQ4",Neutral,need stock couple week here tip properly store item,1,1,1
76,45028,Kjipuktuk/Halifax,10-03-2020,"My genuine concern around #COVID2019 are folks who may have to isolate, but work low wage/hourly pay jobs - folks who are barely getting by, who DONT get paid sick days. Folks who cant stock up on weeks worth of food. Folks who cant NOT work. 

The working poor will suffer most",Extremely Negative,genuine concern folk isolate work low wagehourly pay job folk barely get do not pay sick day folk stock week worth food folk not work work poor suffer,2,2,2
77,45029,Australia,10-03-2020,"We could have as many as 60% of the world's population infected with the #Coronavirus by the end of the year.

Your prayers are useless, only science will come to the rescue. If this does happen, our world will not recover for years. Stock up your can food people. #doomsdayBunker",Negative,world population infect end year prayer useless science come rescue happen world not recover year stock food people,2,2,2
78,45030,"Manchester, NH",10-03-2020,"IMPORTANT UPDATE! Our CEO Brian Beaulieu has broadened the scope of his COVID-19 webinar. Expect more on the oil prices drop, stock market developments, retail sales, and unfolding situations in China and Italy. Learn more and register: https://t.co/3muKagEw4p https://t.co/uOuyUfjRyW",Positive,important update ceo brian beaulieu broaden scope webinar expect oil price drop stock market development retail sale unfold situation china italy learn register,0,0,0
79,45031,"Columbus, OH",10-03-2020,".@Target taking #coronavirus #COVID19 seriously. Stores are adding hours and staff to clean more rigorously, stopping food samples, bolstering order pick up and drive up, encouraging employees to stay home, adding more stock, and limiting # of items in purchases.

@wsyx6 https://t.co/p1EJDPvnyy",Positive,take seriously store add hour staff clean rigorously stop food sample bolster order pick drive encourage employee stay home add stock limit item purchase,0,0,0
80,45032,US,10-03-2020,"CDC: Older folks should stock up on food, stay home amid #coronavirus - Business Insider  Wow! https://t.co/ygcPtE7F1L",Positive,cdc old folk stock food stay home amid business insider wow,0,0,0
81,45033,"Tampa, FL",10-03-2020,"If 1,000,000 get infected with a 2% death rate for the #coronavirus then 20,000 will die in USA.

If you dont have mo mney to stock up food, then find a fishing hole and supplies to hunt and fish!",Extremely Negative,infected death rate die usa do not mo mney stock food find fishing hole supply hunt fish,2,2,2
82,45034,Dublin,10-03-2020,"Every shop, chemist or retailer of any sort who raises prices during #coronavirus should be boycotted when it's all over. The greed in this country starts with those who've governed us for almost 100 years. FF and FG have made many of us lose our compassion and decency.",Negative,shop chemist retailer sort raise price boycott greed country start who ve govern year ff fg lose compassion decency,2,2,2
83,45035,,10-03-2020,"No, witch hazel won't help protect you from #coronavirus ...even in a DIY hand sanitizer: https://t.co/DYyShJHRGm @AmeshAA",Extremely Positive,no witch hazel will not help protect diy hand sanitizer,0,0,0
84,45036,,10-03-2020,"@thehill DonaldTrump with lies or with rumor
Never recognized his sense of humor
..so he sells us his balm
..just tells us to stay calm
And blames it all on the consumer. 

#COVID19 #Trumpdemic #coronavirus",Negative,donaldtrump lie rumor recognize sense humor sell balm tell stay calm blame consumer,2,2,2
